company,Macro,Sector,Industry,BasicIndustry
20MICRONS,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
21STCENMGM,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services
360ONE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
3IINFOLTD,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
3MINDIA,Diversified,Diversified,Diversified,Diversified
3PLAND,Financial Services,Financial Services,Finance,Investment Company
5PAISA,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
63MOONS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ABB,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
ABINFRA,Industrials,Construction,Construction,Civil Construction
ABLBL,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
ABMINTLLTD,Services,Services,Commercial Services & Supplies,Trading & Distributors
ABREL,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
A2ZINFRA,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
AAATECH,Services,Services,Commercial Services & Supplies,Consulting Services
AADHARHFC,Financial Services,Financial Services,Finance,Housing Finance Company
AAKASH,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
AAREYDRUGS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARON,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
AARTECH,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
AARTIDRUGS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARTIIND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AARTIPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARTISURF,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AARVEEDEN,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AARVI,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
AAVAS,Financial Services,Financial Services,Finance,Housing Finance Company
ABAN,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
AFSL,Financial Services,Financial Services,Finance,Holding Company
ABBOTINDIA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ACC,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
ACCELYA,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ACCURACY,Services,Services,Transport Services,Logistics Solution Provider
ACMESOLAR,Utilities,Power,Power,Power Generation
ACE,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles
ACUTAAS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ADANIENSOL,Utilities,Power,Power,Power Distribution
ADANIENT,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
ADANIGREEN,Utilities,Power,Power,Power Generation
ADANIPORTS,Services,Services,Transport Infrastructure,Port & Port services
ADANIPOWER,Utilities,Power,Power,Integrated Power Utilities
ATGL,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier
ADFFOODS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
BIRLAMONEY,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
ABSLAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
ABFRL,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
ABCAPITAL,Financial Services,Financial Services,Finance,Investment Company
CPPLUS,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
AVL,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
ADOR,Industrials,Capital Goods,Industrial Products,Other Industrial Products
ADROITINFO,Information Technology,Information Technology,IT - Services,IT Enabled Services
ADVENZYMES,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology
ADVANIHOTR,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
AEGISLOG,Energy,Oil Gas & Consumable Fuels,Gas,Trading - Gas
AEGISVOPAK,Energy,Oil Gas & Consumable Fuels,Oil,Oil Storage & Transportation
AEROFLEX,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
AEROENTER,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
AERONEU,Industrials,Capital Goods,Industrial Products,Packaging
AETHER,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AFCONS,Industrials,Construction,Construction,Civil Construction
AFFLE,Information Technology,Information Technology,IT - Services,IT Enabled Services
AFFORDABLE,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
AGARIND,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
AGI,Industrials,Capital Goods,Industrial Products,Packaging
AGIIL,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
AGRITECH,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
AGROPHOS,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
AHLADA,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing
AHLUCONT,Industrials,Construction,Construction,Civil Construction
AIAENG,Industrials,Capital Goods,Industrial Products,Castings & Forgings
